isbn,original_title,author,original_publication_year,num_pages,genres,image_url,avg_rating,similar_books
,Finding Me,Stephanie    Rose,2016,,"romance, fiction, young-adult",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.2,
1582433542,Jesus Land : A Memoir,Julia Scheeres,2005,,"non-fiction, history, historical fiction, biography, fiction, comics, graphic, young-adult",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,
451462076,"Into the Storm (Destroyermen, #1)",Taylor Anderson,2008,,"fiction, history, historical fiction, biography, fantasy, paranormal, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,
553806955,Abandoned,Cody McFadyen,2009,,"mystery, thriller, crime, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,
452287634,"The Commitment: Love, Sex, Marriage, and My Family",Dan Savage,2005,,"non-fiction, history, historical fiction, biography, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,
671016768,"Bloodstream (Medical Thrillers, #3)",Tess Gerritsen,1998,,"mystery, thriller, crime, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,
1416954171,Found,Margaret Peterson Haddix,2008,,"fiction, young-adult, mystery, thriller, crime, fantasy, paranormal, children, history, historical fiction, biography",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,
345480236,The Prey,Allison Brennan,2005,,"romance, mystery, thriller, crime, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,
452287081,Confessions of an Economic Hit Man,John Perkins,2004,,"non-fiction, history, historical fiction, biography, fiction, mystery, thriller, crime, comics, graphic",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,
9626344245,The Valley of Fear,Arthur Conan Doyle,1914,,"fiction, mystery, thriller, crime, history, historical fiction, biography",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,
60724560,Princess on the Brink,Meg Cabot,2006,,"young-adult, romance, fiction, children",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.7,
